seq_no,epoch,timestamp,ip,temp
1,1574369592,Thu Nov 21 12:53:12 PST 2019,10.10.4.38,82.040000
2,1574369609,Thu Nov 21 12:53:29 PST 2019,10.10.4.38,111.200000
3,1574370001,Thu Nov 21 13:00:01 PST 2019,10.10.4.38,152.600000
4,1574370602,Thu Nov 21 13:10:02 PST 2019,10.10.4.38,125.600000
5,1574371201,Thu Nov 21 13:20:01 PST 2019,10.10.4.38,129.200000
6,1574371801,Thu Nov 21 13:30:01 PST 2019,10.10.4.38,140.000000
7,1574372401,Thu Nov 21 13:40:01 PST 2019,10.10.4.38,143.600000
8,1574373001,Thu Nov 21 13:50:01 PST 2019,10.10.4.38,143.600000
9,1574373601,Thu Nov 21 14:00:01 PST 2019,10.10.4.38,145.400000
10,1574374201,Thu Nov 21 14:10:01 PST 2019,10.10.4.38,141.800000
11,1574374801,Thu Nov 21 14:20:01 PST 2019,10.10.4.38,147.200000
12,1574375401,Thu Nov 21 14:30:01 PST 2019,10.10.4.38,143.600000
13,1574376001,Thu Nov 21 14:40:01 PST 2019,10.10.4.38,141.800000
14,1574376601,Thu Nov 21 14:50:01 PST 2019,10.10.4.38,141.800000
15,1574377201,Thu Nov 21 15:00:01 PST 2019,10.10.4.38,141.800000
16,1574377801,Thu Nov 21 15:10:01 PST 2019,10.10.4.38,141.800000
17,1574378401,Thu Nov 21 15:20:01 PST 2019,10.10.4.38,136.400000
18,1574379001,Thu Nov 21 15:30:01 PST 2019,10.10.4.38,140.000000
19,1574379601,Thu Nov 21 15:40:01 PST 2019,10.10.4.38,145.400000
20,1574380201,Thu Nov 21 15:50:01 PST 2019,10.10.4.38,140.000000
21,1574380801,Thu Nov 21 16:00:01 PST 2019,10.10.4.38,140.000000
22,1574381401,Thu Nov 21 16:10:01 PST 2019,10.10.4.38,143.600000
23,1574382001,Thu Nov 21 16:20:01 PST 2019,10.10.4.38,143.600000
24,1574382601,Thu Nov 21 16:30:01 PST 2019,10.10.4.38,145.400000
25,1574383201,Thu Nov 21 16:40:01 PST 2019,10.10.4.38,143.600000
26,1574383801,Thu Nov 21 16:50:01 PST 2019,10.10.4.38,145.400000
27,1574384401,Thu Nov 21 17:00:01 PST 2019,10.10.4.38,136.400000
28,1574385001,Thu Nov 21 17:10:01 PST 2019,10.10.4.38,147.200000
29,1574385601,Thu Nov 21 17:20:01 PST 2019,10.10.4.38,147.200000
30,1574386201,Thu Nov 21 17:30:01 PST 2019,10.10.4.38,141.800000
31,1574386801,Thu Nov 21 17:40:01 PST 2019,10.10.4.38,143.600000
32,1574387401,Thu Nov 21 17:50:01 PST 2019,10.10.4.38,143.600000
33,1574388001,Thu Nov 21 18:00:01 PST 2019,10.10.4.38,138.200000
34,1574388601,Thu Nov 21 18:10:01 PST 2019,10.10.4.38,141.800000
35,1574389201,Thu Nov 21 18:20:01 PST 2019,10.10.4.38,143.600000
36,1574389801,Thu Nov 21 18:30:01 PST 2019,10.10.4.38,143.600000
37,1574390401,Thu Nov 21 18:40:01 PST 2019,10.10.4.38,138.200000
38,1574391002,Thu Nov 21 18:50:02 PST 2019,10.10.4.38,145.400000
39,1574391601,Thu Nov 21 19:00:01 PST 2019,10.10.4.38,140.000000
40,1574392201,Thu Nov 21 19:10:01 PST 2019,10.10.4.38,143.600000
41,1574392801,Thu Nov 21 19:20:01 PST 2019,10.10.4.38,143.600000
42,1574393401,Thu Nov 21 19:30:01 PST 2019,10.10.4.38,141.800000
43,1574394001,Thu Nov 21 19:40:01 PST 2019,10.10.4.38,145.400000
44,1574394601,Thu Nov 21 19:50:01 PST 2019,10.10.4.38,143.600000
45,1574395201,Thu Nov 21 20:00:01 PST 2019,10.10.4.38,141.800000
46,1574395801,Thu Nov 21 20:10:01 PST 2019,10.10.4.38,140.000000
47,1574396401,Thu Nov 21 20:20:01 PST 2019,10.10.4.38,141.800000
48,1574397001,Thu Nov 21 20:30:01 PST 2019,10.10.4.38,145.400000
49,1574397601,Thu Nov 21 20:40:01 PST 2019,10.10.4.38,145.400000
50,1574398201,Thu Nov 21 20:50:01 PST 2019,10.10.4.38,149.000000
51,1574398801,Thu Nov 21 21:00:01 PST 2019,10.10.4.38,143.600000
52,1574399401,Thu Nov 21 21:10:01 PST 2019,10.10.4.38,140.000000
53,1574400002,Thu Nov 21 21:20:02 PST 2019,10.10.4.38,145.400000
54,1574400601,Thu Nov 21 21:30:01 PST 2019,10.10.4.38,145.400000
55,1574401201,Thu Nov 21 21:40:01 PST 2019,10.10.4.38,138.200000
56,1574401801,Thu Nov 21 21:50:01 PST 2019,10.10.4.38,145.400000
57,1574402401,Thu Nov 21 22:00:01 PST 2019,10.10.4.38,138.200000
58,1574403001,Thu Nov 21 22:10:01 PST 2019,10.10.4.38,143.600000
59,1574403601,Thu Nov 21 22:20:01 PST 2019,10.10.4.38,147.200000
60,1574404201,Thu Nov 21 22:30:01 PST 2019,10.10.4.38,141.800000
61,1574404801,Thu Nov 21 22:40:01 PST 2019,10.10.4.38,145.400000
62,1574405401,Thu Nov 21 22:50:01 PST 2019,10.10.4.38,143.600000
63,1574406001,Thu Nov 21 23:00:01 PST 2019,10.10.4.38,138.200000
64,1574406601,Thu Nov 21 23:10:01 PST 2019,10.10.4.38,145.400000
65,1574407201,Thu Nov 21 23:20:01 PST 2019,10.10.4.38,143.600000
66,1574407802,Thu Nov 21 23:30:02 PST 2019,10.10.4.38,138.200000
67,1574408401,Thu Nov 21 23:40:01 PST 2019,10.10.4.38,145.400000
68,1574409001,Thu Nov 21 23:50:01 PST 2019,10.10.4.38,147.200000
69,1574409601,Fri Nov 22 00:00:01 PST 2019,10.10.4.38,143.600000
70,1574410201,Fri Nov 22 00:10:01 PST 2019,10.10.4.38,138.200000
71,1574410801,Fri Nov 22 00:20:01 PST 2019,10.10.4.38,145.400000
72,1574411401,Fri Nov 22 00:30:01 PST 2019,10.10.4.38,143.600000
73,1574412001,Fri Nov 22 00:40:01 PST 2019,10.10.4.38,140.000000
74,1574412601,Fri Nov 22 00:50:01 PST 2019,10.10.4.38,141.800000
75,1574413201,Fri Nov 22 01:00:01 PST 2019,10.10.4.38,145.400000
76,1574413801,Fri Nov 22 01:10:01 PST 2019,10.10.4.38,140.000000
77,1574414401,Fri Nov 22 01:20:01 PST 2019,10.10.4.38,140.000000
78,1574415001,Fri Nov 22 01:30:01 PST 2019,10.10.4.38,143.600000
79,1574415601,Fri Nov 22 01:40:01 PST 2019,10.10.4.38,141.800000
80,1574416201,Fri Nov 22 01:50:01 PST 2019,10.10.4.38,140.000000
81,1574416801,Fri Nov 22 02:00:01 PST 2019,10.10.4.38,143.600000
82,1574417401,Fri Nov 22 02:10:01 PST 2019,10.10.4.38,143.600000
83,1574418001,Fri Nov 22 02:20:01 PST 2019,10.10.4.38,141.800000
84,1574418602,Fri Nov 22 02:30:02 PST 2019,10.10.4.38,143.600000
