seq_no,epoch,timestamp,ip,temp
1,1591399070,Fri Jun 5 16:17:50 PDT 2020,128.111.45.161,118.400000
2,1591399201,Fri Jun 5 16:20:01 PDT 2020,128.111.45.161,118.400000
3,1591399501,Fri Jun 5 16:25:01 PDT 2020,128.111.45.161,116.600000
4,1591399801,Fri Jun 5 16:30:01 PDT 2020,128.111.45.161,122.000000
5,1591400101,Fri Jun 5 16:35:01 PDT 2020,128.111.45.161,122.000000
6,1591400401,Fri Jun 5 16:40:01 PDT 2020,128.111.45.161,118.400000
7,1591400701,Fri Jun 5 16:45:01 PDT 2020,128.111.45.161,120.200000
8,1591401001,Fri Jun 5 16:50:01 PDT 2020,128.111.45.161,118.400000
9,1591401301,Fri Jun 5 16:55:01 PDT 2020,128.111.45.161,116.600000
10,1591401601,Fri Jun 5 17:00:01 PDT 2020,128.111.45.161,122.000000
11,1591401901,Fri Jun 5 17:05:01 PDT 2020,128.111.45.161,118.400000
12,1591402201,Fri Jun 5 17:10:01 PDT 2020,128.111.45.161,116.600000
13,1591402502,Fri Jun 5 17:15:02 PDT 2020,128.111.45.161,116.600000
14,1591402801,Fri Jun 5 17:20:01 PDT 2020,128.111.45.161,118.400000
15,1591403101,Fri Jun 5 17:25:01 PDT 2020,128.111.45.161,118.400000
16,1591403401,Fri Jun 5 17:30:01 PDT 2020,128.111.45.161,118.400000
17,1591403701,Fri Jun 5 17:35:01 PDT 2020,128.111.45.161,116.600000
18,1591404001,Fri Jun 5 17:40:01 PDT 2020,128.111.45.161,118.400000
19,1591404301,Fri Jun 5 17:45:01 PDT 2020,128.111.45.161,118.400000
20,1591404601,Fri Jun 5 17:50:01 PDT 2020,128.111.45.161,116.600000
21,1591404901,Fri Jun 5 17:55:01 PDT 2020,128.111.45.161,116.600000
22,1591405201,Fri Jun 5 18:00:01 PDT 2020,128.111.45.161,120.200000
23,1591405501,Fri Jun 5 18:05:01 PDT 2020,128.111.45.161,116.600000
24,1591405801,Fri Jun 5 18:10:01 PDT 2020,128.111.45.161,118.400000
25,1591406101,Fri Jun 5 18:15:01 PDT 2020,128.111.45.161,118.400000
26,1591406401,Fri Jun 5 18:20:01 PDT 2020,128.111.45.161,118.400000
27,1591406701,Fri Jun 5 18:25:01 PDT 2020,128.111.45.161,118.400000
28,1591407001,Fri Jun 5 18:30:01 PDT 2020,128.111.45.161,118.400000
29,1591407301,Fri Jun 5 18:35:01 PDT 2020,128.111.45.161,118.400000
30,1591407601,Fri Jun 5 18:40:01 PDT 2020,128.111.45.161,118.400000
31,1591407901,Fri Jun 5 18:45:01 PDT 2020,128.111.45.161,116.600000
32,1591408201,Fri Jun 5 18:50:01 PDT 2020,128.111.45.161,116.600000
33,1591408501,Fri Jun 5 18:55:01 PDT 2020,128.111.45.161,116.600000
34,1591408801,Fri Jun 5 19:00:01 PDT 2020,128.111.45.161,116.600000
35,1591409101,Fri Jun 5 19:05:01 PDT 2020,128.111.45.161,116.600000
36,1591409401,Fri Jun 5 19:10:01 PDT 2020,128.111.45.161,116.600000
37,1591409701,Fri Jun 5 19:15:01 PDT 2020,128.111.45.161,116.600000
38,1591410001,Fri Jun 5 19:20:01 PDT 2020,128.111.45.161,118.400000
39,1591410301,Fri Jun 5 19:25:01 PDT 2020,128.111.45.161,116.600000
40,1591410601,Fri Jun 5 19:30:01 PDT 2020,128.111.45.161,116.600000
41,1591410901,Fri Jun 5 19:35:01 PDT 2020,128.111.45.161,118.400000
42,1591411201,Fri Jun 5 19:40:01 PDT 2020,128.111.45.161,116.600000
43,1591411501,Fri Jun 5 19:45:01 PDT 2020,128.111.45.161,118.400000
44,1591411801,Fri Jun 5 19:50:01 PDT 2020,128.111.45.161,116.600000
45,1591412101,Fri Jun 5 19:55:01 PDT 2020,128.111.45.161,116.600000
46,1591412401,Fri Jun 5 20:00:01 PDT 2020,128.111.45.161,118.400000
47,1591412701,Fri Jun 5 20:05:01 PDT 2020,128.111.45.161,118.400000
48,1591413001,Fri Jun 5 20:10:01 PDT 2020,128.111.45.161,118.400000
49,1591413301,Fri Jun 5 20:15:01 PDT 2020,128.111.45.161,116.600000
50,1591413601,Fri Jun 5 20:20:01 PDT 2020,128.111.45.161,116.600000
51,1591413901,Fri Jun 5 20:25:01 PDT 2020,128.111.45.161,120.200000
52,1591414201,Fri Jun 5 20:30:01 PDT 2020,128.111.45.161,116.600000
53,1591414501,Fri Jun 5 20:35:01 PDT 2020,128.111.45.161,118.400000
54,1591414801,Fri Jun 5 20:40:01 PDT 2020,128.111.45.161,116.600000
55,1591415101,Fri Jun 5 20:45:01 PDT 2020,128.111.45.161,116.600000
56,1591415401,Fri Jun 5 20:50:01 PDT 2020,128.111.45.161,116.600000
57,1591415701,Fri Jun 5 20:55:01 PDT 2020,128.111.45.161,118.400000
58,1591416001,Fri Jun 5 21:00:01 PDT 2020,128.111.45.161,118.400000
59,1591416301,Fri Jun 5 21:05:01 PDT 2020,128.111.45.161,118.400000
60,1591416601,Fri Jun 5 21:10:01 PDT 2020,128.111.45.161,118.400000
61,1591416901,Fri Jun 5 21:15:01 PDT 2020,128.111.45.161,116.600000
62,1591417201,Fri Jun 5 21:20:01 PDT 2020,128.111.45.161,118.400000
63,1591417502,Fri Jun 5 21:25:02 PDT 2020,128.111.45.161,116.600000
64,1591417801,Fri Jun 5 21:30:01 PDT 2020,128.111.45.161,116.600000
65,1591418101,Fri Jun 5 21:35:01 PDT 2020,128.111.45.161,122.000000
66,1591418401,Fri Jun 5 21:40:01 PDT 2020,128.111.45.161,116.600000
67,1591418701,Fri Jun 5 21:45:01 PDT 2020,128.111.45.161,118.400000
68,1591419001,Fri Jun 5 21:50:01 PDT 2020,128.111.45.161,118.400000
69,1591419301,Fri Jun 5 21:55:01 PDT 2020,128.111.45.161,118.400000
70,1591419601,Fri Jun 5 22:00:01 PDT 2020,128.111.45.161,118.400000
71,1591419901,Fri Jun 5 22:05:01 PDT 2020,128.111.45.161,118.400000
72,1591420201,Fri Jun 5 22:10:01 PDT 2020,128.111.45.161,118.400000
73,1591420501,Fri Jun 5 22:15:01 PDT 2020,128.111.45.161,116.600000
74,1591420801,Fri Jun 5 22:20:01 PDT 2020,128.111.45.161,118.400000
75,1591421101,Fri Jun 5 22:25:01 PDT 2020,128.111.45.161,118.400000
76,1591421401,Fri Jun 5 22:30:01 PDT 2020,128.111.45.161,116.600000
77,1591421701,Fri Jun 5 22:35:01 PDT 2020,128.111.45.161,116.600000
78,1591422001,Fri Jun 5 22:40:01 PDT 2020,128.111.45.161,116.600000
79,1591422301,Fri Jun 5 22:45:01 PDT 2020,128.111.45.161,116.600000
