seq_no,epoch,timestamp,ip,temp
10929,1592330101,Tue Jun 16 10:55:01 PDT 2020,128.111.45.163,129.200000
10930,1592330161,Tue Jun 16 10:56:01 PDT 2020,128.111.45.163,156.200000
10931,1592330221,Tue Jun 16 10:57:01 PDT 2020,128.111.45.163,165.200000
10932,1592330281,Tue Jun 16 10:58:01 PDT 2020,128.111.45.163,168.800000
10933,1592330341,Tue Jun 16 10:59:01 PDT 2020,128.111.45.163,168.800000
10934,1592330401,Tue Jun 16 11:00:01 PDT 2020,128.111.45.163,168.800000
10935,1592330461,Tue Jun 16 11:01:01 PDT 2020,128.111.45.163,174.200000
10936,1592330521,Tue Jun 16 11:02:01 PDT 2020,128.111.45.163,190.400000
10937,1592330581,Tue Jun 16 11:03:01 PDT 2020,128.111.45.163,192.200000
10938,1592330641,Tue Jun 16 11:04:01 PDT 2020,128.111.45.163,192.200000
10939,1592330701,Tue Jun 16 11:05:01 PDT 2020,128.111.45.163,192.200000
10940,1592330761,Tue Jun 16 11:06:01 PDT 2020,128.111.45.163,190.400000
10941,1592330821,Tue Jun 16 11:07:01 PDT 2020,128.111.45.163,195.800000
10942,1592330881,Tue Jun 16 11:08:01 PDT 2020,128.111.45.163,197.600000
10943,1592330941,Tue Jun 16 11:09:01 PDT 2020,128.111.45.163,197.600000
10944,1592331001,Tue Jun 16 11:10:01 PDT 2020,128.111.45.163,199.400000
10945,1592331061,Tue Jun 16 11:11:01 PDT 2020,128.111.45.163,204.800000
10946,1592331121,Tue Jun 16 11:12:01 PDT 2020,128.111.45.163,203.000000
10947,1592331181,Tue Jun 16 11:13:01 PDT 2020,128.111.45.163,203.000000
10948,1592331241,Tue Jun 16 11:14:01 PDT 2020,128.111.45.163,201.200000
10949,1592331301,Tue Jun 16 11:15:01 PDT 2020,128.111.45.163,203.000000
10950,1592331361,Tue Jun 16 11:16:01 PDT 2020,128.111.45.163,206.600000
10951,1592331421,Tue Jun 16 11:17:01 PDT 2020,128.111.45.163,195.800000
10952,1592331481,Tue Jun 16 11:18:01 PDT 2020,128.111.45.163,206.600000
10953,1592331541,Tue Jun 16 11:19:01 PDT 2020,128.111.45.163,206.600000
10954,1592331601,Tue Jun 16 11:20:01 PDT 2020,128.111.45.163,197.600000
10955,1592331661,Tue Jun 16 11:21:01 PDT 2020,128.111.45.163,206.600000
10956,1592331721,Tue Jun 16 11:22:01 PDT 2020,128.111.45.163,208.400000
10957,1592331781,Tue Jun 16 11:23:01 PDT 2020,128.111.45.163,206.600000
10958,1592331841,Tue Jun 16 11:24:01 PDT 2020,128.111.45.163,208.400000
10959,1592331901,Tue Jun 16 11:25:01 PDT 2020,128.111.45.163,210.200000
10960,1592331962,Tue Jun 16 11:26:02 PDT 2020,128.111.45.163,210.200000
10961,1592332021,Tue Jun 16 11:27:01 PDT 2020,128.111.45.163,212.000000
10962,1592332081,Tue Jun 16 11:28:01 PDT 2020,128.111.45.163,210.200000
10963,1592332141,Tue Jun 16 11:29:01 PDT 2020,128.111.45.163,210.200000
10964,1592332201,Tue Jun 16 11:30:01 PDT 2020,128.111.45.163,212.000000
10965,1592332261,Tue Jun 16 11:31:01 PDT 2020,128.111.45.163,212.000000
10966,1592332321,Tue Jun 16 11:32:01 PDT 2020,128.111.45.163,212.000000
10967,1592332381,Tue Jun 16 11:33:01 PDT 2020,128.111.45.163,210.200000
10968,1592332441,Tue Jun 16 11:34:01 PDT 2020,128.111.45.163,210.200000
10969,1592332501,Tue Jun 16 11:35:01 PDT 2020,128.111.45.163,212.000000
10970,1592332561,Tue Jun 16 11:36:01 PDT 2020,128.111.45.163,165.200000
