seq_no,epoch,timestamp,ip,temp
10979,1592333101,Tue Jun 16 11:45:01 PDT 2020,128.111.45.163,129.200000
10980,1592333161,Tue Jun 16 11:46:01 PDT 2020,128.111.45.163,176.000000
10981,1592333221,Tue Jun 16 11:47:01 PDT 2020,128.111.45.163,179.600000
10982,1592333281,Tue Jun 16 11:48:01 PDT 2020,128.111.45.163,179.600000
10983,1592333341,Tue Jun 16 11:49:01 PDT 2020,128.111.45.163,177.800000
10984,1592333401,Tue Jun 16 11:50:01 PDT 2020,128.111.45.163,177.800000
10985,1592333461,Tue Jun 16 11:51:01 PDT 2020,128.111.45.163,167.000000
10986,1592333521,Tue Jun 16 11:52:01 PDT 2020,128.111.45.163,185.000000
10987,1592333581,Tue Jun 16 11:53:01 PDT 2020,128.111.45.163,185.000000
10988,1592333641,Tue Jun 16 11:54:01 PDT 2020,128.111.45.163,185.000000
10989,1592333701,Tue Jun 16 11:55:01 PDT 2020,128.111.45.163,188.600000
10990,1592333761,Tue Jun 16 11:56:01 PDT 2020,128.111.45.163,147.200000
10991,1592333821,Tue Jun 16 11:57:01 PDT 2020,128.111.45.163,188.600000
10992,1592333881,Tue Jun 16 11:58:01 PDT 2020,128.111.45.163,197.600000
10993,1592333941,Tue Jun 16 11:59:01 PDT 2020,128.111.45.163,199.400000
10994,1592334001,Tue Jun 16 12:00:01 PDT 2020,128.111.45.163,203.000000
10995,1592334062,Tue Jun 16 12:01:02 PDT 2020,128.111.45.163,201.200000
10996,1592334121,Tue Jun 16 12:02:01 PDT 2020,128.111.45.163,181.400000
10997,1592334181,Tue Jun 16 12:03:01 PDT 2020,128.111.45.163,204.800000
10998,1592334241,Tue Jun 16 12:04:01 PDT 2020,128.111.45.163,199.400000
10999,1592334301,Tue Jun 16 12:05:01 PDT 2020,128.111.45.163,204.800000
11000,1592334361,Tue Jun 16 12:06:01 PDT 2020,128.111.45.163,203.000000
11001,1592334421,Tue Jun 16 12:07:01 PDT 2020,128.111.45.163,158.000000
11002,1592334481,Tue Jun 16 12:08:01 PDT 2020,128.111.45.163,199.400000
11003,1592334541,Tue Jun 16 12:09:01 PDT 2020,128.111.45.163,203.000000
11004,1592334601,Tue Jun 16 12:10:01 PDT 2020,128.111.45.163,206.600000
11005,1592334661,Tue Jun 16 12:11:01 PDT 2020,128.111.45.163,204.800000
11006,1592334721,Tue Jun 16 12:12:01 PDT 2020,128.111.45.163,197.600000
11007,1592334781,Tue Jun 16 12:13:01 PDT 2020,128.111.45.163,181.400000
11008,1592334841,Tue Jun 16 12:14:01 PDT 2020,128.111.45.163,203.000000
11009,1592334901,Tue Jun 16 12:15:01 PDT 2020,128.111.45.163,206.600000
11010,1592334961,Tue Jun 16 12:16:01 PDT 2020,128.111.45.163,206.600000
11011,1592335021,Tue Jun 16 12:17:01 PDT 2020,128.111.45.163,208.400000
11012,1592335081,Tue Jun 16 12:18:01 PDT 2020,128.111.45.163,165.200000
11013,1592335141,Tue Jun 16 12:19:01 PDT 2020,128.111.45.163,203.000000
11014,1592335201,Tue Jun 16 12:20:01 PDT 2020,128.111.45.163,208.400000
11015,1592335261,Tue Jun 16 12:21:01 PDT 2020,128.111.45.163,210.200000
11016,1592335321,Tue Jun 16 12:22:01 PDT 2020,128.111.45.163,210.200000
11017,1592335381,Tue Jun 16 12:23:01 PDT 2020,128.111.45.163,210.200000
11018,1592335441,Tue Jun 16 12:24:01 PDT 2020,128.111.45.163,188.600000
11019,1592335501,Tue Jun 16 12:25:01 PDT 2020,128.111.45.163,208.400000
11020,1592335561,Tue Jun 16 12:26:01 PDT 2020,128.111.45.163,212.000000
11021,1592335621,Tue Jun 16 12:27:01 PDT 2020,128.111.45.163,210.200000
11022,1592335681,Tue Jun 16 12:28:01 PDT 2020,128.111.45.163,212.000000
11023,1592335741,Tue Jun 16 12:29:01 PDT 2020,128.111.45.163,174.200000
